,Unnamed: 0,Unnamed: 0.1,nameC,cust_idPP
0,0,0,Adria Airways,2.167256755290728e+18
1,1,1,Advanced Air,
2,2,2,Aegean Airlines,2.0373761062611228e+18
3,3,3,Aer Lingus,2.1382085218699912e+18
4,4,4,Aero Mongolia,
5,5,5,Aeroflot,
6,6,6,Aerogaviota,
7,7,7,Aerolinea de Antioquia,
8,8,8,Aerolineas Argentinas,1.170162735509357e+18
9,9,9,Aeromar,2.1429791944777733e+18
10,10,10,Aeromexico,1.802744593969958e+18
11,11,11,Africa World Airlines,
12,12,12,African Express Airways,
13,13,13,Afriqiyah Airways,2.264787948730098e+18
14,14,14,Aigle Azur,1.2222766410768123e+18
15,15,15,Air Algerie,1.234219469590353e+18
16,16,16,Air Antilles,1.7439514227049797e+18
17,17,17,Air Arabia,1.933496319970857e+18
18,18,18,Air Astana,
19,19,19,Air Austral,1.4367835613597156e+18
20,20,20,Air Bagan,
21,21,21,Air Baltic,
22,22,22,air berlin [no longer operating],
23,23,23,Air Botswana,2.142805176000248e+18
24,24,24,Air Burkina,
25,25,25,Air Busan,
26,26,26,Air Cairo,
27,27,27,Air Canada,1.347639480819021e+18
28,28,28,Air Canada Rouge,
29,29,29,Air Caraibes,2.3038765222384248e+18
30,30,30,Air Century,
31,31,31,Air Changan,
32,32,32,Air Chathams,
33,33,33,Air China,1.755041284685542e+18
34,34,34,Air Choice One,
35,35,35,Air Corsica,1.6856234659170854e+18
36,36,36,Air Costa (no longer operating),
37,37,37,Air Cote d Ivoire,
38,38,38,Air Do,2.0949520947659213e+18
39,39,39,Air Dolomiti,2.0949520947659213e+18
40,40,40,Air Europa,1.7328682807446856e+18
41,41,41,Air Flamenco,
42,42,42,Air France,1.8858039309689777e+18
43,43,43,Air Greenland,
44,44,44,Air Guilin,
45,45,45,Air Iceland Connect (**this is not Icelandair**),
46,46,46,Air India,1.6270778692886546e+18
47,47,47,Air India Express,
48,48,48,Air Italy,
49,49,49,Air Juan,
50,50,50,Air KBZ,
51,51,51,Air Kiribati,
52,52,52,Air Koryo,
53,53,53,Air Kyrgyzstan,2.2283965105163717e+18
54,54,54,Air Macau,1.5353743599380882e+18
55,55,55,Air Madagascar,1.747929377289964e+18
56,56,56,Air Malta,
57,57,57,Air Manas,
58,58,58,Air Mauritius,2.2281630995568617e+18
59,59,59,Air Mediterranean,
60,60,60,Air Moldova,1.1798312947892457e+18
61,61,61,Air Namibia,
62,62,62,Air New Zealand,1.5847323598681516e+18
63,63,63,Air Niugini,
64,64,64,Air North (Canada),
65,65,65,Air Nostrum,
66,66,66,Air Panama,
67,67,67,Air Peace,
68,68,68,Air Pegasus (no longer operating),
69,69,69,Air Rarotonga,1.4963005546943153e+18
70,70,70,Air Saint Pierre,
71,71,71,Air Senegal,
72,72,72,Air Seoul,
73,73,73,Air Serbia,1.7793851270215306e+18
74,74,74,Air Seychelles,2.269603569042231e+18
75,75,75,Air Tahiti,1.216487306863943e+18
76,76,76,Air Tahiti Nui,1.313886583302892e+18
77,77,77,Air Transat,1.757092170782979e+18
78,78,78,Air Vanuatu,
79,79,79,Air VIA [no longer operating],1.5117664996013135e+18
80,80,80,Air Zimbabwe,1.263052076475857e+18
81,81,81,AirAsia - AirAsia Berhad (Malaysia),1.8673893020154268e+18
82,82,82,AirAsia - AirAsia India,1.8673893020154268e+18
83,83,83,AirAsia - AirAsia Japan,1.8673893020154268e+18
84,84,84,AirAsia - AirAsia X Berhad (Malaysia),
85,85,85,AirAsia - Indonesia AirAsia,1.8673893020154268e+18
86,86,86,AirAsia - Philippines AirAsia,1.8673893020154268e+18
87,87,87,AirAsia - Thai AirAsia,1.8673893020154268e+18
88,88,88,AirAsia - Thai AirAsia X,1.8673893020154268e+18
89,89,89,Airblue,1.7252724879799578e+18
90,90,90,Aircalin,
91,91,91,AirKenya Express,
92,92,92,Airlink,1.647083549154208e+18
93,93,93,Airnorth (Australia),
94,94,94,AirSWIFT,
95,95,95,Alaska Airlines,
96,96,96,Alaska Seaplanes,
97,97,97,Alba Star,
98,98,98,Alexandria Airlines,
99,99,99,Alitalia,1.4711952621881946e+18
100,100,100,Allegiant Air,1.378946249733187e+18
101,101,101,Alliance Airlines,
102,102,102,AlMasria Universal,
103,103,103,ALROSA,
104,104,104,Alsie Express,1.170147507836705e+18
105,105,105,Amazonas,1.830108044668602e+18
106,106,106,American Airlines,1.7266353666899044e+18
107,107,107,ANA (All Nippon Airways),2.1230703427481452e+18
108,108,108,AnadoluJet,
109,109,109,Andes Lineas Aereas,
110,110,110,Angara Airlines,1.7469064778029847e+18
111,111,111,Anguilla Air Services,2.144063241323957e+18
112,112,112,Ariana Afghan Airlines,1.2964028768714353e+18
113,113,113,Arik Air,1.8378815118617457e+18
114,114,114,Arkia Israel Airlines,1.2069252876099597e+18
115,115,115,Aruba Airlines,1.451351856248765e+18
116,116,116,Aserca Airlines (no longer operating),1.8690430502875569e+18
117,117,117,Asia Atlantic Airlines,
118,118,118,Asiana Airlines,2.0332317357054377e+18
119,119,119,ASKY Airlines,
120,120,120,ASL France,
121,121,121,Astra Airlines,
122,122,122,ATA Airlines (Iran),
123,123,123,Atlantic Airways,2.0169560079433805e+18
124,124,124,Atlas Air,1.9067593716324073e+18
125,125,125,Atlas Atlantique [no longer operating],
126,126,126,AtlasGlobal,1.7777063197023478e+18
127,127,127,Aurigny,1.8392921400975713e+18
128,128,128,Aurora,2.286178819183092e+18
129,129,129,Austral Lineas Aereas,1.499966727801939e+18
130,130,130,Austrian Airlines,1.7105115096402652e+18
131,131,131,Avianca,2.0822562673051648e+18
132,132,132,Avior Airlines,
133,133,133,Azerbaijan Airlines,2.2546784911562084e+18
134,134,134,Azimuth,1.600150688861404e+18
135,135,135,Aztec Airways,
136,136,136,Azul,
137,137,137,Azur Air,
138,138,138,Bahamasair,1.912755979463411e+18
139,139,139,Bamboo Airways,
140,140,140,Bangkok Airways,1.6377478787080315e+18
141,141,141,Bassaka Air,
142,142,142,Batik Air,
143,143,143,Bayon Airlines,1.2098834034316024e+18
144,144,144,Bearskin Airlines,
145,145,145,Beijing Capital Airlines,
146,146,146,Bek Air,
147,147,147,Belavia Belarusian Airlines,1.811514339357946e+18
148,148,148,BH Air,1.4277251976452552e+18
149,149,149,Bhutan Airlines,
150,150,150,Biman Bangladesh Airlines,
151,151,151,Binter,2.0278344415871795e+18
152,152,152,Blue Air,1.92843711977338e+18
153,153,153,Blue Islands Air,
154,154,154,Blue Panorama Airlines,
155,155,155,Boliviana de Aviacion,1.2087587181345595e+18
156,156,156,Borajet [no longer operating],
157,157,157,Boutique Air,
158,158,158,BRA (Braathens Regional Airways AB),
159,159,159,British Airways,1.2128540128604298e+18
160,160,160,Brussels Airlines,1.2909646987452076e+18
161,161,161,Buddha Air,1.6268324660063017e+18
162,162,162,Bulgaria Air,2.2283965105163717e+18
163,163,163,Buta Airways,
164,164,164,Calafia Airlines,1.550926871044508e+18
165,165,165,CalmAir International,
166,166,166,Cambodia Angkor Air,
167,167,167,Canadian North,1.8350070996632435e+18
168,168,168,Canaryfly,
169,169,169,Cape Air,2.188708596821903e+18
170,170,170,Caribbean Airlines,1.6050338269326582e+18
171,171,171,Caspian Airlines,
172,172,172,Cathay Dragon (Dragonair),1.5383644051655744e+18
173,173,173,Cathay Pacific,1.287294872361917e+18
174,174,174,Cayman Airways,2.2196829250715704e+18
175,175,175,Cebu Pacific Air,1.957626705343275e+18
176,176,176,CemAir,
177,177,177,Central Mountain Air,
178,178,178,Chair,1.5023460140067318e+18
179,179,179,Cham Wings,
180,180,180,Chengdu Airlines,
181,181,181,China Airlines,1.9853084655063465e+18
182,182,182,China Eastern Airlines,
183,183,183,China Express Airlines,
184,184,184,China Southern Airlines,2.0214684620132347e+18
185,185,185,China United Airlines,
186,186,186,Chongqing Airlines,
187,187,187,Cinnamon Air,
188,188,188,Citilink,1.546108720289709e+18
189,189,189,CityJet,1.923181468250589e+18
190,190,190,Citywing [no longer operating],
191,191,191,CM Airlines,2.1676164724155791e+18
192,192,192,Cobalt [no longer operating],
193,193,193,Colorful GuiZhou Airlines,1.7589735855986555e+18
194,194,194,Condor,1.8321842131124608e+18
195,195,195,Contour,1.7594509348161295e+18
196,196,196,Copa Airlines,1.3908719387271557e+18
197,197,197,Copenhagen AirTaxi,
198,198,198,Corendon Airlines,
199,199,199,Corsair,2.219230497226714e+18
200,200,200,Croatia Airlines,
201,201,201,Cubana de Aviacion,
202,202,202,Cyprus Airways,
203,203,203,Czech Airlines,1.6775692756344192e+18
204,204,204,Daallo Airlines,1.4188427403957962e+18
205,205,205,Dalian Airlines,
206,206,206,DAT Danish Air Transport,1.4989290171941478e+18
207,207,207,Delta Air Lines,1.273310694486866e+18
208,208,208,Denver Air Connection,
209,209,209,Dniproavia [no longer operating - merged into Windrose Airlines],
210,210,210,Donghai Airlines,
211,211,211,Druk Air,1.534681452813035e+18
212,212,212,Dynamic International Airways,
213,213,213,Eagle Air,
214,214,214,Eastar Jet,
215,215,215,Eastern Airways,
216,216,216,EasyFly,1.3072965144599406e+18
217,217,217,easyJet,1.5056905697554678e+18
218,218,218,Edelweiss Air,
219,219,219,EGYPTAIR,2.094703670606278e+18
220,220,220,El Al Israel Airlines,1.397365174528263e+18
221,221,221,Elite Airways,2.0157349516123087e+18
222,222,222,Ellinair,
223,223,223,Emirates,1.3301649373608146e+18
224,224,224,Enter Air,
225,225,225,Equatorial Congo Airlines [no longer operating],
226,226,226,Eritrean Airlines,
227,227,227,Ernest,2.1080809172512023e+18
228,228,228,Ethiopian Airlines,2.037681241183483e+18
229,229,229,Etihad Airways,1.2083711968979784e+18
230,230,230,Etihad Regional [no longer operating],
231,231,231,Euro Atlantic,
232,232,232,European Coastal Airlines [no longer operating],
233,233,233,Eurowings,1.80595546105588e+18
234,234,234,EVA Air,1.5465681575272115e+18
235,235,235,Evelop,1.9474673654626276e+18
236,236,236,Far Eastern Air Transport,1.9340742582891886e+18
237,237,237,fastjet,
238,238,238,Fiji Airways,
239,239,239,Finnair,1.1566767274400172e+18
240,240,240,firefly,1.6411700847902282e+18
241,241,241,First Air,2.1671005494162332e+18
242,242,242,Flair Airlines,
243,243,243,Fly Allways,
244,244,244,Fly Baghdad,
245,245,245,Fly Corporate,2.0724774968687654e+18
246,246,246,Fly Tiwi,
247,247,247,Fly540,2.0246876377240911e+18
248,248,248,Flyadeal,
249,249,249,FlyArystan,
250,250,250,Flybe,1.7777925130259615e+18
251,251,251,flybmi [no longer operating],
252,252,252,Flybondi,
253,253,253,flydubai,
254,254,254,FlyEgypt,2.0854488215529e+18
255,255,255,Flyme,1.3868142249921807e+18
256,256,256,Flynas,1.8398795733125757e+18
257,257,257,FLYONE,1.440852036568602e+18
258,258,258,FlyPelican,2.0724774968687654e+18
259,259,259,FlySafair,
260,260,260,FMIAir,
261,261,261,French bee,
262,262,262,Frontier Airlines,
263,263,263,Fuji Dream Airlines,1.500857821891755e+18
264,264,264,Fuzhou Airlines,
265,265,265,Garuda Indonesia,1.2739849056344325e+18
266,266,266,Georgian Airways,
267,267,267,Germania Airlines [no longer operating],1.9576252542246917e+18
268,268,268,Germanwings,1.80595546105588e+18
269,269,269,GLO Airlines (no longer operating),2.1323927889039311e+18
270,270,270,GoAir,1.829620427832113e+18
271,271,271,GOL Airlines,1.8776965939447954e+18
272,272,272,Golden Myanmar Airlines,
273,273,273,Grand China Air,
274,274,274,Groupe Transair,
275,275,275,Gulf Air,
276,276,276,Gum Air,1.641755498578274e+18
277,277,277,GX Airlines,
278,278,278,Hainan Airlines,1.6431331237519547e+18
279,279,279,Hawaiian Airlines,1.828297582619136e+18
280,280,280,Hebei Airlines,
281,281,281,Helvetic Airways,
282,282,282,Himalaya Airlines,
283,283,283,HK Express,1.204714036296339e+18
284,284,284,Hong Kong Airlines,
285,285,285,Hongtu Airlines,
286,286,286,HOP!,1.3052255402092467e+18
287,287,287,Hunnu Air,
288,288,288,IBC Airways,
289,289,289,Iberia,1.805726804913764e+18
290,290,290,Iberia Express,2.0725693841200865e+18
291,291,291,IBEX,
292,292,292,Icelandair,1.867397395783956e+18
293,293,293,IndiGo,
294,294,294,InselAir,1.2443789725973484e+18
295,295,295,interCaribbean,2.0631537673107423e+18
296,296,296,Interjet,2.0269293030367145e+18
297,297,297,IrAero,
298,298,298,Iran Aseman Airlines,
299,299,299,IranAir,2.2351392686428728e+18
300,300,300,Iraqi Airways,1.2501741616410598e+18
301,301,301,Island Air [no longer operating],
302,302,302,Israir,1.3669367322289572e+18
303,303,303,Izhavia,
304,304,304,Jambojet,
305,305,305,Japan Airlines (JAL),2.030733683012982e+18
306,306,306,Jazeera Airways,
307,307,307,JC Cambodia,
308,308,308,Jeju Air,2.107005098567746e+18
309,309,309,Jet Airways [no longer operating],1.7575546894627471e+18
310,310,310,Jet2.com,1.551657411881979e+18
311,311,311,JetBlue,1.4958243245617106e+18
312,312,312,JETGO,2.2503303366051638e+18
313,313,313,JetSmart,1.5384869065538102e+18
314,314,314,Jetstar Airways - Australia & New Zealand,1.1760455041525558e+18
315,315,315,Jetstar Asia Airways - Singapore,1.1760455041525558e+18
316,316,316,Jetstar Japan,1.1760455041525558e+18
317,317,317,Jetstar Pacific Airlines - Vietnam,1.1760455041525558e+18
318,318,318,JetSuiteX,2.1510018593553603e+18
319,319,319,"Jetways Airlines, Kenya [NOT Jet Airways of India]",
320,320,320,Jiangxi Air,
321,321,321,Jin Air,2.2205580451276247e+18
322,322,322,Jordan Aviation,
323,323,323,Joy Air,
324,324,324,Jubba Airways,1.3772553423555139e+18
325,325,325,Juneyao Airlines,
326,326,326,Kalstar Aviation,
327,327,327,Kam Air,
328,328,328,Kan Airlines,1.583063700602501e+18
329,329,329,Kenya Airways,1.6204610217735178e+18
330,330,330,Kish Air,
331,331,331,KLM Royal Dutch Airlines,2.2875640929983565e+18
332,332,332,Korean Air,1.935141059477359e+18
333,333,333,KrasAvia,
334,334,334,Kulula,
335,335,335,Kunming Airlines,
336,336,336,Kuwait Airways,1.3890942425454054e+18
337,337,337,La Compagnie,1.6045700079146028e+18
338,338,338,La Costena,2.268642325517191e+18
339,339,339,LAM Mozambique,1.9567443624329372e+18
