('Adria Airways', 100, 308045)
('ED', 90, 34371)
('AEGEAN AIRLINES S.A.', 95, 309098)
('Aer Lingus N.A.', 95, 234525)
('Ông', 90, 2893)
('a', 90, 1255)
('AE', 90, 23934)
('Rol', 90, 65069)
('Aerolineas Argentinas', 100, 132212)
('a', 90, 1255)
('Aeromexico', 100, 9194)
('airlines', 90, 8205)
('Express airways', 90, 3298)
('AFRIQIYAH AIRWAYS', 100, 134837)
('Aigle Azur', 100, 292162)
('air algerie', 100, 359878)
('Le', 90, 3290)
('AI', 90, 61072)
('Stan', 90, 2565)
('AIR AUSTRAL', 100, 106927)
('bag', 90, 43218)
('al', 90, 44635)
('opera', 90, 115506)
('Air Botswana', 100, 70956)
('kin', 90, 3300)
('SAN', 90, 12785)
('CA', 90, 24812)
('Air Canada', 100, 130731)
('na', 90, 8107)
('Air Caraibes', 100, 224708)
('AI', 90, 61072)
('Ông', 90, 2893)
('MS.', 90, 6612)
('na', 90, 8107)
('Choice Air', 95, 260678)
('Air corsica', 100, 76506)
('long', 90, 62609)
('IRE', 90, 42285)
('a', 90, 1255)
('IT', 90, 15562)
('EUROPA AIR', 95, 251682)
('me', 90, 864)
('Air France', 100, 201961)
('LAN', 90, 1372)
('li', 90, 57848)
('Icelandair', 90, 9973)
('AI', 90, 61072)
('express', 90, 38497)
('Italy&Italy', 95, 245162)
('a', 90, 1255)
('a', 90, 1255)
('AT', 90, 45742)
('airkoryo', 94, 226186)
('Stan', 90, 2565)
('Air Macau', 100, 129799)
('Air Madagascar', 100, 1075)
('Ma', 90, 7769)
('Ma', 90, 7769)
('AIR MAURITIUS', 100, 111620)
('Med', 90, 92982)
('MO', 90, 11179)
('na', 90, 8107)
('Air New Zealand', 100, 262581)
('AI', 90, 61072)
('nada', 90, 11599)
('OS', 90, 92)
('Pa', 90, 2431)
('peace', 90, 19604)
('long', 90, 62609)
('Air Rarotonga', 100, 194433)
('Pi', 90, 10171)
('al', 90, 44635)
('seo', 90, 37779)
('AI', 90, 61072)
('Air Seychelles Ltd', 95, 184891)
('Air Tahiti Nui', 95, 11744)
('Air Tahiti Nui', 100, 11744)
('air transat', 100, 136803)
('AT', 90, 45742)
('long', 90, 62609)
('Air Zimbabwe', 100, 246084)
('AirAsia Berhad', 90, 63851)
('dia', 90, 78745)
('Pan', 90, 24046)
('AirAsia', 90, 122782)
('indonesia', 90, 3382)
('PHILIP', 90, 18832)
('Tha', 90, 26052)
('Tha', 90, 26052)
('a', 90, 1255)
('a', 90, 1255)
('keny', 90, 6547)
('AirLink', 100, 111267)
('ali', 90, 5605)
('a', 90, 1255)
('AlaskanAirLines', 93, 236429)
('LAN', 90, 1372)
('Alba', 90, 13098)
('alex', 90, 7090)
('alitalia', 100, 328282)
('Allegiant Air', 100, 52260)
('airlines', 90, 8205)
('universal', 90, 77293)
