,nameC,cust_idPP
0,Adria Airways,2.1672567552907277e+18
1,Advanced Air,
2,Aegean Airlines,
3,Aer Lingus,
4,Aero Mongolia,
5,Aeroflot,
6,Aerogaviota,
7,Aerolinea de Antioquia,
8,Aerolineas Argentinas,1.170162735509357e+18
9,Aeromar,
10,Aeromexico,1.802744593969958e+18
11,Africa World Airlines,
12,African Express Airways,
13,Afriqiyah Airways,2.264787948730098e+18
14,Aigle Azur,1.2222766410768125e+18
15,Air Algerie,1.234219469590353e+18
16,Air Antilles,
17,Air Arabia,
18,Air Astana,
19,Air Austral,1.4367835613597156e+18
20,Air Bagan,
21,Air Baltic,
22,air berlin [no longer operating],
23,Air Botswana,2.142805176000248e+18
24,Air Burkina,
25,Air Busan,
26,Air Cairo,
27,Air Canada,1.347639480819021e+18
28,Air Canada Rouge,
29,Air Caraibes,2.3038765222384248e+18
30,Air Century,
31,Air Changan,
32,Air Chathams,
33,Air China,
34,Air Choice One,
35,Air Corsica,1.6856234659170854e+18
36,Air Costa (no longer operating),
37,Air Cote d Ivoire,
38,Air Do,
39,Air Dolomiti,
40,Air Europa,
41,Air Flamenco,
42,Air France,1.8858039309689777e+18
43,Air Greenland,
44,Air Guilin,
45,Air Iceland Connect (**this is not Icelandair**),
46,Air India,
47,Air India Express,
48,Air Italy,
49,Air Juan,
50,Air KBZ,
51,Air Kiribati,
52,Air Koryo,
53,Air Kyrgyzstan,
54,Air Macau,1.5353743599380882e+18
55,Air Madagascar,1.747929377289964e+18
56,Air Malta,
57,Air Manas,
58,Air Mauritius,2.2281630995568617e+18
59,Air Mediterranean,
60,Air Moldova,
61,Air Namibia,
62,Air New Zealand,1.5847323598681516e+18
63,Air Niugini,
64,Air North (Canada),
65,Air Nostrum,
66,Air Panama,
67,Air Peace,
68,Air Pegasus (no longer operating),
69,Air Rarotonga,1.4963005546943153e+18
70,Air Saint Pierre,
71,Air Senegal,
72,Air Seoul,
73,Air Serbia,
74,Air Seychelles,
75,Air Tahiti,
76,Air Tahiti Nui,1.313886583302892e+18
77,Air Transat,1.757092170782979e+18
78,Air Vanuatu,
79,Air VIA [no longer operating],
80,Air Zimbabwe,1.263052076475857e+18
81,AirAsia - AirAsia Berhad (Malaysia),
82,AirAsia - AirAsia India,
83,AirAsia - AirAsia Japan,
84,AirAsia - AirAsia X Berhad (Malaysia),
85,AirAsia - Indonesia AirAsia,
86,AirAsia - Philippines AirAsia,
87,AirAsia - Thai AirAsia,
88,AirAsia - Thai AirAsia X,
89,Airblue,
90,Aircalin,
91,AirKenya Express,
92,Airlink,1.647083549154208e+18
93,Airnorth (Australia),
94,AirSWIFT,
95,Alaska Airlines,
96,Alaska Seaplanes,
97,Alba Star,
98,Alexandria Airlines,
99,Alitalia,1.4711952621881946e+18
100,Allegiant Air,1.378946249733187e+18
101,Alliance Airlines,
102,AlMasria Universal,
103,ALROSA,
104,Alsie Express,1.170147507836705e+18
105,Amazonas,
106,American Airlines,1.7266353666899044e+18
107,ANA (All Nippon Airways),
108,AnadoluJet,
109,Andes Lineas Aereas,
110,Angara Airlines,
111,Anguilla Air Services,
112,Ariana Afghan Airlines,
113,Arik Air,
114,Arkia Israel Airlines,
115,Aruba Airlines,1.451351856248765e+18
116,Aserca Airlines (no longer operating),
117,Asia Atlantic Airlines,
118,Asiana Airlines,2.0332317357054377e+18
119,ASKY Airlines,
120,ASL France,
121,Astra Airlines,
122,ATA Airlines (Iran),
123,Atlantic Airways,
124,Atlas Air,
125,Atlas Atlantique [no longer operating],
126,AtlasGlobal,
127,Aurigny,
128,Aurora,2.2861788191830917e+18
129,Austral Lineas Aereas,
130,Austrian Airlines,1.7105115096402652e+18
131,Avianca,2.0822562673051648e+18
132,Avior Airlines,
133,Azerbaijan Airlines,
134,Azimuth,
135,Aztec Airways,
136,Azul,
137,Azur Air,
138,Bahamasair,
139,Bamboo Airways,
140,Bangkok Airways,1.6377478787080315e+18
141,Bassaka Air,
142,Batik Air,
143,Bayon Airlines,
144,Bearskin Airlines,
145,Beijing Capital Airlines,
146,Bek Air,
147,Belavia Belarusian Airlines,
148,BH Air,
149,Bhutan Airlines,
150,Biman Bangladesh Airlines,
151,Binter,2.027834441587179e+18
152,Blue Air,1.9284371197733796e+18
