,name,reviews,link,ComUrl
58,Air Mauritius,1996,https://www.tripadvisor.com/Airline_Review-d8729008-Reviews-Air-Mauritius,not now
59,Air Mediterranean,144,https://www.tripadvisor.com/Airline_Review-d13150558-Reviews-Air-Mediterranean,not now
60,Air Moldova,275,https://www.tripadvisor.com/Airline_Review-d10823596-Reviews-Air-Moldova,not now
61,Air Namibia,617,https://www.tripadvisor.com/Airline_Review-d8729009-Reviews-Air-Namibia,not now
62,Air New Zealand,11836,https://www.tripadvisor.com/Airline_Review-d8729010-Reviews-Air-New-Zealand,not now
63,Air Niugini,172,https://www.tripadvisor.com/Airline_Review-d8729011-Reviews-Air-Niugini,not now
64,Air North (Canada),246,https://www.tripadvisor.com/Airline_Review-d10816875-Reviews-Air-North-Canada,not now
65,Air Nostrum,398,https://www.tripadvisor.com/Airline_Review-d11831113-Reviews-Air-Nostrum,not now
66,Air Panama,178,https://www.tripadvisor.com/Airline_Review-d11831111-Reviews-Air-Panama,not now
67,Air Peace,26,https://www.tripadvisor.com/Airline_Review-d15053196-Reviews-Air-Peace,not now
68,Air Pegasus (no longer operating),117,https://www.tripadvisor.com/Airline_Review-d10533092-Reviews-Air-Pegasus-No-Longer-Operating,not now
69,Air Rarotonga,47,https://www.tripadvisor.com/Airline_Review-d12280244-Reviews-Air-Rarotonga,not now
70,Air Saint Pierre,6,https://www.tripadvisor.com/Airline_Review-d13635954-Reviews-Air-Saint-Pierre,not now
71,Air Senegal,10,https://www.tripadvisor.com/Airline_Review-d17213150-Reviews-Air-Senegal,not now
72,Air Seoul,155,https://www.tripadvisor.com/Airline_Review-d12280232-Reviews-Air-Seoul,not now
73,Air Serbia,1394,https://www.tripadvisor.com/Airline_Review-d8729096-Reviews-Air-Serbia,not now
74,Air Seychelles,592,https://www.tripadvisor.com/Airline_Review-d8729012-Reviews-Air-Seychelles,not now
75,Air Tahiti,281,https://www.tripadvisor.com/Airline_Review-d10533095-Reviews-Air-Tahiti,not now
76,Air Tahiti Nui,1391,https://www.tripadvisor.com/Airline_Review-d8729013-Reviews-Air-Tahiti-Nui,not now
77,Air Transat,9438,https://www.tripadvisor.com/Airline_Review-d8729014-Reviews-Air-Transat,not now
78,Air Vanuatu,339,https://www.tripadvisor.com/Airline_Review-d8729190-Reviews-Air-Vanuatu,not now
79,Air VIA [no longer operating],85,https://www.tripadvisor.com/Airline_Review-d8728947-Reviews-Air-VIA-No-Longer-Operating,not now
80,Air Zimbabwe,60,https://www.tripadvisor.com/Airline_Review-d11831119-Reviews-Air-Zimbabwe,not now
81,AirAsia - AirAsia Berhad (Malaysia),3073,https://www.tripadvisor.com/Airline_Review-d8729220-Reviews-AirAsia-AirAsia-Berhad-Malaysia,not now
82,AirAsia - AirAsia India,834,https://www.tripadvisor.com/Airline_Review-d8728894-Reviews-AirAsia-AirAsia-India,not now
83,AirAsia - AirAsia Japan,72,https://www.tripadvisor.com/Airline_Review-d8728895-Reviews-AirAsia-AirAsia-Japan,not now
84,AirAsia - AirAsia X Berhad (Malaysia),1701,https://www.tripadvisor.com/Airline_Review-d8728893-Reviews-AirAsia-AirAsia-X-Berhad-Malaysia,not now
85,AirAsia - Indonesia AirAsia,2349,https://www.tripadvisor.com/Airline_Review-d8728920-Reviews-AirAsia-Indonesia-AirAsia,not now
86,AirAsia - Philippines AirAsia,822,https://www.tripadvisor.com/Airline_Review-d8728918-Reviews-AirAsia-Philippines-AirAsia,not now
87,AirAsia - Thai AirAsia,5187,https://www.tripadvisor.com/Airline_Review-d8728898-Reviews-AirAsia-Thai-AirAsia,not now
88,AirAsia - Thai AirAsia X,178,https://www.tripadvisor.com/Airline_Review-d12280240-Reviews-AirAsia-Thai-AirAsia-X,not now
89,Airblue,53,https://www.tripadvisor.com/Airline_Review-d8728892-Reviews-Airblue,not now
90,Aircalin,281,https://www.tripadvisor.com/Airline_Review-d8728975-Reviews-Aircalin,not now
91,AirKenya Express,14,https://www.tripadvisor.com/Airline_Review-d14190664-Reviews-AirKenya-Express,not now
92,Airlink,300,https://www.tripadvisor.com/Airline_Review-d8729016-Reviews-Airlink,not now
93,Airnorth (Australia),200,https://www.tripadvisor.com/Airline_Review-d8728876-Reviews-Airnorth-Australia,not now
94,AirSWIFT,242,https://www.tripadvisor.com/Airline_Review-d11831124-Reviews-AirSWIFT,not now
95,Alaska Airlines,13694,https://www.tripadvisor.com/Airline_Review-d8729017-Reviews-Alaska-Airlines,not now
96,Alaska Seaplanes,25,https://www.tripadvisor.com/Airline_Review-d10816877-Reviews-Alaska-Seaplanes,not now
97,Alba Star,652,https://www.tripadvisor.com/Airline_Review-d10823587-Reviews-Alba-Star,not now
98,Alexandria Airlines,1,https://www.tripadvisor.com/Airline_Review-d8728966-Reviews-Alexandria-Airlines,not now
99,Alitalia,17197,https://www.tripadvisor.com/Airline_Review-d8729018-Reviews-Alitalia,not now
100,Allegiant Air,8420,https://www.tripadvisor.com/Airline_Review-d8729019-Reviews-Allegiant-Air,not now
101,Alliance Airlines,62,https://www.tripadvisor.com/Airline_Review-d12878327-Reviews-Alliance-Airlines,not now
102,AlMasria Universal,103,https://www.tripadvisor.com/Airline_Review-d15053145-Reviews-AlMasria-Universal,not now
103,ALROSA,9,https://www.tripadvisor.com/Airline_Review-d13635955-Reviews-ALROSA,not now
104,Alsie Express,23,https://www.tripadvisor.com/Airline_Review-d11831130-Reviews-Alsie-Express,not now
105,Amazonas,210,https://www.tripadvisor.com/Airline_Review-d10533120-Reviews-Amazonas,not now
106,American Airlines,60758,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-American-Airlines,not now
107,ANA (All Nippon Airways),8942,https://www.tripadvisor.com/Airline_Review-d8729021-Reviews-ANA-All-Nippon-Airways,not now
108,AnadoluJet,455,https://www.tripadvisor.com/Airline_Review-d8729208-Reviews-AnadoluJet,not now
109,Andes Lineas Aereas,794,https://www.tripadvisor.com/Airline_Review-d12665305-Reviews-Andes-Lineas-Aereas,not now
